# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:46:49 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_POPC_CHOL/450K/multi_west/clucountdxpc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
1.161500000000000032e-01 1.649996406071059518e-02 3.977334499636976162e+00 -1.782517001740764773e+00
3.484500000000000375e-01 0.000000000000000000e+00 inf -inf
5.807500000000000995e-01 0.000000000000000000e+00 inf -inf
8.130500000000000504e-01 0.000000000000000000e+00 inf -inf
1.045350000000000001e+00 1.074669946637975548e-01 2.103508928360197761e+00 -9.687248960860512792e-01
1.277649999999999952e+00 0.000000000000000000e+00 inf -inf
1.509950000000000125e+00 0.000000000000000000e+00 inf -inf
1.742250000000000076e+00 0.000000000000000000e+00 inf -inf
1.974550000000000027e+00 3.406936917225453221e-01 9.497088935436740487e-01 -4.676359077454550484e-01
2.206850000000000200e+00 0.000000000000000000e+00 inf -inf
2.439149999999999707e+00 0.000000000000000000e+00 inf -inf
2.671450000000000102e+00 0.000000000000000000e+00 inf -inf
2.903750000000000497e+00 6.593672169857243137e-01 2.894120894311654757e-01 -1.808726493010402170e-01
3.136050000000000004e+00 0.000000000000000000e+00 inf -inf
3.368350000000000399e+00 0.000000000000000000e+00 inf -inf
3.600649999999999906e+00 0.000000000000000000e+00 inf -inf
3.832950000000000301e+00 0.000000000000000000e+00 inf -inf
4.065249999999999808e+00 8.721172089236541858e-01 9.768873622873958107e-03 -5.942514377381899471e-02
4.297550000000000203e+00 0.000000000000000000e+00 inf -inf
4.529849999999999710e+00 0.000000000000000000e+00 inf -inf
4.762150000000000105e+00 0.000000000000000000e+00 inf -inf
4.994450000000000500e+00 8.806785610206204762e-01 0.000000000000000000e+00 -5.518257586499460826e-02
5.226750000000000007e+00 0.000000000000000000e+00 inf -inf
5.459050000000000402e+00 0.000000000000000000e+00 inf -inf
5.691349999999999909e+00 0.000000000000000000e+00 inf -inf
5.923650000000000304e+00 6.786813790085766129e-01 2.605409353316511245e-01 -1.683340663894426770e-01
6.155950000000000699e+00 0.000000000000000000e+00 inf -inf
6.388250000000000206e+00 0.000000000000000000e+00 inf -inf
6.620549999999999713e+00 0.000000000000000000e+00 inf -inf
6.852850000000000108e+00 0.000000000000000000e+00 inf -inf
7.085150000000000503e+00 4.118251161379383185e-01 7.600939185613964089e-01 -3.852871704244287820e-01
7.317450000000000010e+00 0.000000000000000000e+00 inf -inf
7.549750000000000405e+00 0.000000000000000000e+00 inf -inf
7.782049999999999912e+00 0.000000000000000000e+00 inf -inf
8.014350000000000307e+00 2.031261451351098202e-01 1.466865511746043849e+00 -6.922341733104909745e-01
8.246649999999998926e+00 0.000000000000000000e+00 inf -inf
8.478950000000001097e+00 0.000000000000000000e+00 inf -inf
8.711249999999999716e+00 0.000000000000000000e+00 inf -inf
8.943550000000000111e+00 9.018744096795049126e-02 2.278802520416531419e+00 -1.044853935829116676e+00
9.175850000000000506e+00 0.000000000000000000e+00 inf -inf
9.408149999999999125e+00 0.000000000000000000e+00 inf -inf
9.640450000000001296e+00 0.000000000000000000e+00 inf -inf
9.872749999999999915e+00 0.000000000000000000e+00 inf -inf
1.010505000000000031e+01 3.265660174909085917e-02 3.294645669597185744e+00 -1.486029009997496653e+00
1.033735000000000070e+01 0.000000000000000000e+00 inf -inf
1.056964999999999932e+01 0.000000000000000000e+00 inf -inf
