# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:46:58 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_POPC_CHOL/450K/multi_west/clucounttotal.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
2.019999999999999851e-01 1.108738669493227955e-03 5.937289066963397310e+00 -2.955170805312831828e+00
6.059999999999999831e-01 0.000000000000000000e+00 inf -inf
1.010000000000000009e+00 1.414379240057416637e-02 3.391236274154643127e+00 -1.849434126761626551e+00
1.413999999999999924e+00 0.000000000000000000e+00 inf -inf
1.818000000000000060e+00 5.721528756509738911e-02 1.993690974580127229e+00 -1.242487914946587280e+00
2.221999999999999975e+00 0.000000000000000000e+00 inf -inf
2.625999999999999890e+00 0.000000000000000000e+00 inf -inf
3.029999999999999805e+00 1.386562556976244087e-01 1.108514212710092206e+00 -8.580605317574423463e-01
3.433999999999999719e+00 0.000000000000000000e+00 inf -inf
3.838000000000000078e+00 2.669348211733259535e-01 4.535075892374850204e-01 -5.735947695732079854e-01
4.241999999999999993e+00 0.000000000000000000e+00 inf -inf
4.645999999999999908e+00 0.000000000000000000e+00 inf -inf
5.049999999999999822e+00 3.648082044573017213e-01 1.411403541450689803e-01 -4.379354030451959590e-01
5.453999999999999737e+00 0.000000000000000000e+00 inf -inf
5.857999999999999652e+00 4.201081181772370887e-01 0.000000000000000000e+00 -3.766389260661217597e-01
6.261999999999999567e+00 0.000000000000000000e+00 inf -inf
6.665999999999999481e+00 0.000000000000000000e+00 inf -inf
7.069999999999999396e+00 4.014008568429902613e-01 4.555153138479040020e-02 -3.964217047887790280e-01
7.473999999999999311e+00 0.000000000000000000e+00 inf -inf
7.878000000000000114e+00 3.219256062592845136e-01 2.661916199914743375e-01 -4.922444777573063979e-01
8.282000000000000028e+00 0.000000000000000000e+00 inf -inf
8.685999999999999943e+00 0.000000000000000000e+00 inf -inf
9.089999999999999858e+00 2.194195435830006702e-01 6.495264811004589633e-01 -6.587246926580878625e-01
9.493999999999999773e+00 0.000000000000000000e+00 inf -inf
9.897999999999999687e+00 1.311901026081341293e-01 1.163864666154558858e+00 -8.820989282592168745e-01
1.030199999999999960e+01 0.000000000000000000e+00 inf -inf
1.070599999999999952e+01 0.000000000000000000e+00 inf -inf
1.110999999999999943e+01 7.676402178848025504e-02 1.699776038287819535e+00 -1.114842279965892136e+00
1.151399999999999935e+01 0.000000000000000000e+00 inf -inf
1.191799999999999926e+01 3.509241293178918392e-02 2.482527151063690152e+00 -1.454786768948082898e+00
1.232199999999999918e+01 0.000000000000000000e+00 inf -inf
1.272599999999999909e+01 0.000000000000000000e+00 inf -inf
1.312999999999999901e+01 1.552031241793871454e-02 3.298362457806708115e+00 -1.809099540808422280e+00
1.353399999999999892e+01 0.000000000000000000e+00 inf -inf
1.393799999999999883e+01 6.231701737642145363e-03 4.210862654771388769e+00 -2.205393341085813308e+00
1.434199999999999875e+01 0.000000000000000000e+00 inf -inf
1.474599999999999866e+01 0.000000000000000000e+00 inf -inf
1.514999999999999858e+01 3.001714644860598892e-03 4.941328428697535635e+00 -2.522630595921127483e+00
1.555399999999999849e+01 0.000000000000000000e+00 inf -inf
1.595799999999999841e+01 1.214791007858028902e-03 5.845940050377294028e+00 -2.915498431482198782e+00
1.636200000000000188e+01 0.000000000000000000e+00 inf -inf
1.676599999999999824e+01 0.000000000000000000e+00 inf -inf
1.717000000000000171e+01 3.364992895651335676e-04 7.129671343528327654e+00 -3.473015848344218170e+00
1.757399999999999807e+01 0.000000000000000000e+00 inf -inf
1.797800000000000153e+01 1.437355634021403219e-04 7.980292135235806050e+00 -3.842435764374951379e+00
1.838199999999999790e+01 0.000000000000000000e+00 inf -inf
1.878600000000000136e+01 0.000000000000000000e+00 inf -inf
1.918999999999999773e+01 3.100793687503618532e-05 9.514024181420648318e+00 -4.508527128751212310e+00
1.959400000000000119e+01 0.000000000000000000e+00 inf -inf
1.999799999999999756e+01 0.000000000000000000e+00 inf -inf
2.040200000000000102e+01 0.000000000000000000e+00 inf -inf
2.080599999999999739e+01 0.000000000000000000e+00 inf -inf
2.121000000000000085e+01 0.000000000000000000e+00 inf -inf
2.161399999999999721e+01 0.000000000000000000e+00 inf -inf
2.201800000000000068e+01 0.000000000000000000e+00 inf -inf
2.242199999999999704e+01 0.000000000000000000e+00 inf -inf
2.282600000000000051e+01 0.000000000000000000e+00 inf -inf
2.322999999999999687e+01 0.000000000000000000e+00 inf -inf
2.363400000000000034e+01 0.000000000000000000e+00 inf -inf
2.403799999999999670e+01 0.000000000000000000e+00 inf -inf
2.444200000000000017e+01 0.000000000000000000e+00 inf -inf
2.484599999999999653e+01 0.000000000000000000e+00 inf -inf
2.525000000000000000e+01 0.000000000000000000e+00 inf -inf
2.565399999999999636e+01 0.000000000000000000e+00 inf -inf
2.605799999999999983e+01 0.000000000000000000e+00 inf -inf
2.646199999999999619e+01 0.000000000000000000e+00 inf -inf
2.686599999999999966e+01 0.000000000000000000e+00 inf -inf
2.726999999999999602e+01 0.000000000000000000e+00 inf -inf
2.767399999999999949e+01 0.000000000000000000e+00 inf -inf
2.807799999999999585e+01 0.000000000000000000e+00 inf -inf
2.848199999999999932e+01 0.000000000000000000e+00 inf -inf
2.888599999999999568e+01 0.000000000000000000e+00 inf -inf
2.928999999999999915e+01 0.000000000000000000e+00 inf -inf
2.969399999999999551e+01 0.000000000000000000e+00 inf -inf
3.009799999999999898e+01 0.000000000000000000e+00 inf -inf
3.050199999999999534e+01 0.000000000000000000e+00 inf -inf
3.090599999999999881e+01 0.000000000000000000e+00 inf -inf
3.130999999999999517e+01 0.000000000000000000e+00 inf -inf
3.171399999999999864e+01 0.000000000000000000e+00 inf -inf
3.211799999999999500e+01 0.000000000000000000e+00 inf -inf
3.252199999999999847e+01 0.000000000000000000e+00 inf -inf
3.292600000000000193e+01 0.000000000000000000e+00 inf -inf
3.332999999999999829e+01 0.000000000000000000e+00 inf -inf
3.373399999999999466e+01 0.000000000000000000e+00 inf -inf
3.413799999999999812e+01 0.000000000000000000e+00 inf -inf
3.454200000000000159e+01 0.000000000000000000e+00 inf -inf
3.494599999999999795e+01 0.000000000000000000e+00 inf -inf
3.534999999999999432e+01 0.000000000000000000e+00 inf -inf
3.575399999999999778e+01 0.000000000000000000e+00 inf -inf
3.615800000000000125e+01 0.000000000000000000e+00 inf -inf
3.656199999999999761e+01 0.000000000000000000e+00 inf -inf
3.696599999999999397e+01 0.000000000000000000e+00 inf -inf
3.736999999999999744e+01 0.000000000000000000e+00 inf -inf
3.777400000000000091e+01 0.000000000000000000e+00 inf -inf
3.817799999999999727e+01 0.000000000000000000e+00 inf -inf
3.858199999999999363e+01 0.000000000000000000e+00 inf -inf
3.898599999999999710e+01 0.000000000000000000e+00 inf -inf
3.939000000000000057e+01 0.000000000000000000e+00 inf -inf
3.979399999999999693e+01 0.000000000000000000e+00 inf -inf
4.019799999999999329e+01 0.000000000000000000e+00 inf -inf
