# /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/CVs/DBSCANanalysisSpecies.py --model /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DIPC/2/450K/2DIPC.psf --traj /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DIPC/2/450K/fixed_2DIPC_100.dcd --lipid_list /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DIPC/lipidList_NO_CHOL.dat --r /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DIPC/450K/avgRcutoff_NO_CHOL.dat
# Individual Species Contribution :	 DPPC-DPPC	DIPC-DIPC
# Cluster-count	Core to Total Lipids	Cluster lipids to        Total Lipids	Outliers To Total Lipids	Mean Core lipids per cluster        	STD Core lipids per cluster	 Mean lipids per cluster	 STD lipids         per cluster	 Silhouette Coefficent
28	8 0.18478260869565216	0.020370370370370372 0.5181159420289855	0.11481481481481481 0.48188405797101447	0.8851851851851852 5.464285714285714	1.375 5.017698268964302	0.6959705453537527 15.321428571428571	7.75 9.1614626539207	1.6393596310755 0.4026288768183437	0.6276607448873697
34	3 0.08816425120772947	0.009259259259259259 0.40217391304347827	0.04814814814814815 0.5978260869565217	0.9518518518518518 2.1470588235294117	1.25 1.1665018832383494	1.0897247358851685 9.794117647058824	6.5 3.04649665493204	4.272001872658765 0.5157959105959357	-2
27	2 0.12681159420289856	0.011111111111111112 0.42995169082125606	0.040740740740740744 0.5700483091787439	0.9592592592592593 3.888888888888889	3.0 3.022549001941209	2.0 13.185185185185185	11.0 6.371446937456009	4.0 0.468829334212514	2
28	4 0.09541062801932366	0.014814814814814815 0.35990338164251207	0.06851851851851852 0.6400966183574879	0.9314814814814815 2.8214285714285716	2.0 2.8542395963670235	1.7320508075688772 10.642857142857142	9.25 5.439368960998836	3.344772040064913 0.46407687049996255	0.5900824131419513
24	5 0.10507246376811594	0.016666666666666666 0.357487922705314	0.08333333333333333 0.642512077294686	0.9166666666666666 3.625	1.8 3.6721077053920954	1.1661903789690602 12.333333333333334	9.0 7.156970184527962	2.756809750418044 0.5213364665579486	0.7529387279794058
34	3 0.12439613526570048	0.005555555555555556 0.4468599033816425	0.040740740740740744 0.5531400966183575	0.9592592592592593 3.0294117647058822	1.0 2.0791018156554024	0.0 10.882352941176471	7.333333333333333 3.562589159935699	0.4714045207910317 0.48067137943283456	0.6586299031113769
26	5 0.1280193236714976	0.009259259259259259 0.4082125603864734	0.06481481481481481 0.5917874396135265	0.9351851851851852 4.076923076923077	1.0 6.798886090456723	0.0 13.0	7.0 12.958513684951562	0.0 0.35879285367102576	0.8258461501577886
27	2 0.11352657004830918	0.003703703703703704 0.39492753623188404	0.025925925925925925 0.605072463768116	0.9740740740740741 3.4814814814814814	1.0 4.254586809118335	0.0 12.11111111111111	7.0 7.987644780271747	0.0 0.4282466631491493	2
25	4 0.09057971014492754	0.009259259259259259 0.35507246376811596	0.05555555555555555 0.644927536231884	0.9444444444444444 3.0	1.25 1.876166303929372	0.4330127018922193 11.76	7.5 5.046028141023394	0.5 0.5230062078918167	0.8790148293314208
24	3 0.10869565217391304	0.005555555555555556 0.3828502415458937	0.03888888888888889 0.6171497584541062	0.9611111111111111 3.75	1.0 3.243583409338094	0.0 13.208333333333334	7.0 7.158789275351586	0.0 0.48904967406453675	0.8759559226477197
